chapter,word
3,prior
4,sml
3,have
2,the
3,idea
2,uncertain
3,alm
6,2
6,under
6,new
2,can
3,if
2,external
5,carefully
4,has
5,defined
6,running
4,can
2,be
3,represents
6,use
1,formed
6,the
2,what
5,is
7,gp
7,discussion
2,that
3,nugget
4,focused
3,as
3,of
7,as
5,the
2,of
4,a
6,decision
5,to
6,adversely
4,two
5,amount
4,the
6,standard
4,accuracy
3,h
3,is
2,discussion
5,beyond
7,do
2,the
6,of
3,modelling
6,length
6,of
6,constructed
4,models
2,the
3,the
6,filling
2,which
1,code
5,initial
7,should
4,will
3,function
2,the
5,truth
2,cases
7,borrowing
2,that
5,emc
2,wider
7,the
6,mechanism
6,be
2,function
6,problem
6,use
6,to
4,we
5,is
6,in
1,for
6,show
3,fig
4,showed
6,found
4,by
6,is
3,x
3,more
5,the
5,alternative
6,which
4,about
5,not
2,to
4,2
1,emulator's
6,when
5,solution
3,where
2,a
1,a
5,exactly
2,must
3,black
4,gps
2,the
5,when
5,could
2,the
1,in
2,when
6,the
5,upper
6,x_i
4,recapture
3,as
6,by
6,utility
3,example
5,an
3,the
3,indicator
3,observed
4,based
3,thesis
2,at
4,over
3,gives
4,fits
5,when
5,_ucb
5,after
6,pcostello1971
2,itemize
2,we
6,of
4,fig
5,discrete
3,many
6,wind
2,corresponds
4,at
4,a
2,analysis
2,itemize
4,not
2,to
4,quantile
5,a_i
4,extends
5,additional
2,proportion
6,improved
4,we
6,best
4,of
5,u
7,when
2,the
5,and
6,that
2,ii
2,the
2,h
5,across
5,example
6,included
2,decision
2,joint
6,visualisation
6,the
6,used
5,a
5,exploitation
5,right
2,most
6,retained
6,solely
4,exhibits
3,x_i
4,to
2,the
1,to
5,usual
3,equation
2,equation
5,reasons
6,are
5,waves
5,poor
2,for
4,m_v
4,_j
3,t_t
4,readily
6,a
5,know
2,are
4,and
3,combining
1,first
5,may
7,to
6,margins
3,costing
6,additive
1,questions
4,the
3,what
2,to
6,within
7,should
1,a
1,scenarios
4,to
3,wind
1,vernon14
2,means
3,uncertainty
3,central
5,frequentist
3,lines
2,we
6,sensitivity
7,to
2,number
5,shaped
3,multilevel
3,leverage
5,might
3,variables
5,of
5,we
5,physical
4,implemented
5,models
6,used
4,gp
4,to
4,are
2,is
3,the
3,we
6,and
3,set
5,sensible
4,gp
6,decision
1,located
6,marginal
5,and
6,discrete
3,estimates
3,data
2,identifying
4,will
4,i
7,this
4,fig2
5,of
4,stochastic
6,we
3,the
6,using
6,mean
6,use
6,in
5,thus
7,therefore
5,for
5,the
5,is
5,appropriate
5,have
4,when
6,a
4,our
5,emulator
4,the
1,a
5,improvement
5,lead
6,will
3,the
2,which
3,eq:mv2
4,ces
5,region
3,variances
5,achieved
7,simulators
4,fig2
5,processes
5,are
5,details
1,decisions
7,but
6,a
1,computer
3,corresponding
3,trends
3,we
6,here
5,whose
3,bayes
5,this
2,a
5,nroy
3,fit
2,various
6,u
3,the
6,this
2,chosen
5,produced
6,based
4,simulator
2,which
4,transformer
5,training
1,the
5,the
2,not
5,a
6,warehouse
7,of
4,the
2,elicit
5,a
6,where
2,i
5,problems
6,not
5,and
2,a
3,follows
6,aware
3,at
7,the
4,fig:mcycle
4,correct
6,the
2,additional
3,have
2,is
4,x
5,constraints
2,hazard
